Standard_Squad,Standard_No_Pl,Standard_Age,Standard_Poss,Standard_Playing_Time_MP,Standard_Playing_Time_Starts,Standard_Playing_Time_Min,Standard_Performance_Gls,Standard_Performance_Ast,Standard_Performance_G_Plus_A,Standard_Performance_G_PK,Standard_Performance_PK,Standard_Performance_PKatt,Standard_Performance_CrdY,Standard_Performance_CrdR,Standard_Expected_xG,Standard_Expected_npxG,Standard_Expected_xAG,Standard_Expected_npxG_Plus_xAG,Standard_Progression_PrgC,Standard_Progression_PrgP,Standard_Per_90_Minutes_Gls,Standard_Per_90_Minutes_Ast,Standard_Per_90_Minutes_G_Plus_A,Standard_Per_90_Minutes_G_PK,Standard_Per_90_Minutes_G_Plus_A_PK,Standard_Per_90_Minutes_xG,Standard_Per_90_Minutes_xAG,Standard_Per_90_Minutes_xG_Plus_xAG,Standard_Per_90_Minutes_npxG,Standard_Per_90_Minutes_npxG_Plus_xAG,Standard_Team_ID,Shooting_Standard_Sh,Shooting_Standard_SoT,Shooting_Standard_SoT_Pct,Shooting_Standard_Sh_per90,Shooting_Standard_SoT_per90,Shooting_Standard_G_perSh,Shooting_Standard_G_perSoT,Shooting_Standard_Dist,Shooting_Standard_FK,Shooting_Expected_npxG_perSh,Shooting_Expected_G_xG,Shooting_Expected_np_G_xG,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp_Pct,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp_Pct,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp_Pct,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp_Pct,Passing_xA,Passing_A_xAG,Passing_KP,Passing_One_Third,Passing_PPA,Passing_CrsPA,Pass_Types_Pass_Types_Live,Pass_Types_Pass_Types_Dead,Pass_Types_Pass_Types_FK,Pass_Types_Pass_Types_TB,Pass_Types_Pass_Types_Sw,Pass_Types_Pass_Types_Crs,Pass_Types_Pass_Types_TI,Pass_Types_Pass_Types_CK,Pass_Types_Corner_Kicks_In,Pass_Types_Corner_Kicks_Out,Pass_Types_Corner_Kicks_Str,Pass_Types_Outcomes_Off,Pass_Types_Outcomes_Blocks,Goal_And_Shot_Creation_SCA,Goal_And_Shot_Creation_SCA_SCA90,Goal_And_Shot_Creation_SCA_Types_PassLive,Goal_And_Shot_Creation_SCA_Types_PassDead,Goal_And_Shot_Creation_SCA_Types_TO,Goal_And_Shot_Creation_SCA_Types_Sh,Goal_And_Shot_Creation_SCA_Types_Fld,Goal_And_Shot_Creation_SCA_Types_Def,Goal_And_Shot_Creation_GCA,Goal_And_Shot_Creation_GCA_GCA90,Goal_And_Shot_Creation_GCA_Types_PassLive,Goal_And_Shot_Creation_GCA_Types_PassDead,Goal_And_Shot_Creation_GCA_Types_TO,Goal_And_Shot_Creation_GCA_Types_Sh,Goal_And_Shot_Creation_GCA_Types_Fld,Goal_And_Shot_Creation_GCA_Types_Def,Defensive_Tackles_Tkl,Defensive_Tackles_TklW,Defensive_Tackles_Def_3rd,Defensive_Tackles_Mid_3rd,Defensive_Tackles_Att_3rd,Defensive_Challenges_Tkl,Defensive_Challenges_Att,Defensive_Challenges_Tkl_Pct,Defensive_Challenges_Lost,Defensive_Blocks,Defensive_Blocks_Sh,Defensive_Blocks_Pass,Defensive_Int,Defensive_Tkl_Plus_Int,Defensive_Clr,Defensive_Err,Possession_Touches,Possession_Touches_Def_Pen,Possession_Touches_Def_3rd,Possession_Touches_Mid_3rd,Possession_Touches_Att_3rd,Possession_Touches_Att_Pen,Possession_Touches_Live,Possession_Take_Ons_Att,Possession_Take_Ons_Succ,Possession_Take_Ons_Succ_Pct,Possession_Take_Ons_Tkld,Possession_Take_Ons_Tkld_Pct,Possession_Carries,Possession_Carries_TotDist,Possession_Carries_PrgDist,Possession_Carries_One_Third,Possession_Carries_CPA,Possession_Carries_Mis,Possession_Carries_Dis,Possession_Receiving_Rec,Possession_Receiving_PrgR,Playing_Time_Playing_Time_Mn_perMP,Playing_Time_Playing_Time_Min_Pct,Playing_Time_Starts_Mn_perStart,Playing_Time_Starts_Compl,Playing_Time_Subs,Playing_Time_Subs_Mn_perSub,Playing_Time_Subs_unSub,Playing_Time_Team_Success_PPM,Playing_Time_Team_Success_onG,Playing_Time_Team_Success_onGA,Playing_Time_Team_Success_Plus_per,Playing_Time_Team_Success_Plus_per_90,Playing_Time_Team_Success_xG_onxGA,Playing_Time_Team_Success_xG_xG_Plus_per,Playing_Time_Team_Success_xG_xG_Plus_per_90,Misc_Performance_2CrdY,Misc_Performance_Fls,Misc_Performance_Fld,Misc_Performance_PKwon,Misc_Performance_PKcon,Misc_Performance_OG,Misc_Performance_Recov,Misc_Aerial_Duels_Won,Misc_Aerial_Duels_Lost,Misc_Aerial_Duels_Won_Pct,League
vs Arsenal,26,26.7,40.1,38,418,3420,42,27,69,39,3,5,84,1,42.0,38.0,31.6,69.6,510,907,1.11,0.71,1.82,1.03,1.74,1.1,0.83,1.93,1.0,1.83,18bb7c10,337,133,39.5,8.87,3.5,0.12,0.29,16.1,8,0.11,0.0,1.0,11424,15090,75.7,202608,76723,5278,6079,86.8,4656,5577,83.5,1174,2519,46.6,26.0,-4.6,259,778,201,45,13335,1672,407,51,99,510,662,139,79,47,4,83,317,569,14.97,398,64,31,33,32,11,66,1.74,49,5,2,4,5,1,668,387,402,202,64,290,641,45.2,351,516,186,330,360,1028,841,18,19203,2933,7798,7683,3935,673,19197,584,257,44.0,249,42.6,10261,53986,26086,354,147,476,319,11310,901,90,100,85,270,150,15,199,0.63,43,88,-45,-1.18,71.9,-29.9,-0.79,0,456,354,4,4,4,1821,559,486,53.5,EPL
vs Aston Villa,26,26.5,50.6,38,418,3420,42,25,67,37,5,6,85,3,52.5,47.9,36.1,84.0,607,1323,1.11,0.66,1.76,0.97,1.63,1.38,0.95,2.33,1.26,2.21,8602292d,424,145,34.2,11.16,3.82,0.09,0.26,16.5,14,0.12,-10.5,-10.9,14277,18089,78.9,255169,89828,6523,7424,87.9,5885,6859,85.8,1554,2778,55.9,28.7,-11.1,321,1096,282,65,16219,1754,446,95,180,689,765,211,96,77,7,116,375,757,19.92,530,82,45,52,39,9,74,1.95,48,7,5,7,5,2,650,370,305,237,108,279,571,48.9,292,413,127,286,332,982,635,9,22020,2102,7107,9894,5219,870,22014,730,333,45.6,313,42.9,12332,62377,31979,425,184,486,320,14144,1306,90,100,83,274,144,20,181,1.21,46,51,-5,-0.13,50.2,2.2,0.06,3,508,403,3,4,2,1962,465,442,51.3,EPL
vs Bournemouth,31,26.6,59.9,38,418,3420,68,49,117,62,6,7,51,0,63.9,58.4,45.3,103.8,810,1988,1.79,1.29,3.08,1.63,2.92,1.68,1.19,2.87,1.54,2.73,4ba7cbea,619,198,32.0,16.29,5.21,0.1,0.31,17.0,15,0.1,4.1,3.6,18709,22764,82.2,328529,107187,8431,9452,89.2,8068,9207,87.6,1777,2972,59.8,44.6,3.7,455,1615,430,95,20999,1700,403,54,126,930,732,271,139,73,3,65,395,1090,28.68,822,101,38,67,45,17,114,3.0,73,15,4,17,5,0,711,426,318,271,122,344,665,51.7,321,404,96,308,279,990,563,13,26820,2088,7398,11841,7803,1107,26813,697,350,50.2,256,36.7,16186,82870,42849,575,211,550,362,18578,1976,90,100,84,279,141,19,184,1.82,71,37,34,0.89,38.6,25.3,0.67,0,375,372,3,0,0,2160,539,521,50.8,EPL
vs Brentford,25,26.6,56.6,38,418,3420,43,30,73,41,2,2,61,1,49.9,48.7,36.8,85.5,741,1540,1.13,0.79,1.92,1.08,1.87,1.31,0.97,2.28,1.28,2.25,cd051869,557,195,35.0,14.66,5.13,0.07,0.21,18.4,12,0.09,-6.9,-7.7,15959,20073,79.5,264065,90402,7989,8970,89.1,6154,7254,84.8,1318,2713,48.6,37.2,-6.8,417,1368,363,84,18299,1713,403,63,112,781,715,214,103,73,5,61,343,999,26.29,764,68,54,74,28,11,76,2.0,51,7,6,9,2,1,583,330,275,221,87,248,512,48.4,264,354,86,268,291,874,822,11,24216,2369,6890,10625,6903,895,24214,689,346,50.2,253,36.7,13624,72302,37380,656,155,547,334,15840,1530,90,100,82,247,171,19,208,1.08,46,58,-12,-0.32,56.8,-6.8,-0.18,0,415,338,1,8,2,1975,618,665,48.2,EPL
vs Brighton,29,26.5,39.5,38,418,3420,47,34,81,41,6,8,92,1,50.2,43.7,33.7,77.4,527,1026,1.24,0.89,2.13,1.08,1.97,1.32,0.89,2.21,1.15,2.04,d07537b9,380,123,32.4,10.0,3.24,0.11,0.33,16.2,15,0.12,-3.2,-2.7,11658,15116,77.1,200962,76693,5500,6255,87.9,4775,5646,84.6,1061,2361,44.9,27.1,0.3,293,782,236,50,13420,1653,473,44,69,444,607,134,59,52,2,43,310,673,17.71,483,54,42,38,43,13,82,2.16,54,4,9,7,7,1,603,350,312,220,71,279,622,44.9,343,505,160,345,417,1020,777,24,19339,2866,7920,7496,4111,711,19331,645,294,45.6,266,41.2,10293,53237,26095,367,173,513,350,11532,1012,90,100,83,277,143,19,191,1.16,53,72,-19,-0.5,73.3,-23.1,-0.61,0,426,409,6,6,4,1875,387,444,46.6,EPL
vs Chelsea,32,26.6,41.0,38,418,3420,44,32,76,43,1,1,69,1,52.5,51.7,39.9,91.7,593,1203,1.16,0.84,2.0,1.13,1.97,1.38,1.05,2.43,1.36,2.41,cff3d9bb,437,158,36.2,11.5,4.16,0.1,0.27,16.7,10,0.12,-8.5,-8.7,12591,16256,77.5,219610,84778,5875,6743,87.1,5133,6094,84.2,1242,2398,51.8,30.1,-7.9,321,967,240,59,14458,1748,456,41,83,591,744,182,105,35,1,50,404,750,19.74,543,59,46,52,34,16,69,1.82,45,4,4,10,4,2,733,429,373,260,100,352,727,48.4,375,474,145,329,374,1107,792,10,20667,2640,7410,8358,5105,760,20666,744,321,43.1,333,44.8,11149,58694,30130,416,167,545,407,12479,1188,90,100,81,243,173,22,190,1.55,47,38,9,0.24,49.5,3.0,0.08,1,468,378,1,3,1,1956,453,493,47.9,EPL
vs Crystal Palace,26,26.6,53.9,38,418,3420,46,32,78,42,4,4,83,3,48.1,44.9,34.5,79.4,590,1592,1.21,0.84,2.05,1.11,1.95,1.26,0.91,2.17,1.18,2.09,47c64c55,452,156,34.5,11.89,4.11,0.09,0.27,16.2,14,0.1,-2.1,-2.9,16316,20332,80.2,280950,99352,7628,8660,88.1,6712,7780,86.3,1522,2746,55.4,33.7,-2.5,339,1214,353,84,18512,1750,484,50,140,682,763,176,80,60,8,70,384,796,20.95,578,85,35,45,44,9,81,2.13,59,5,6,7,4,0,771,436,370,299,102,314,681,46.1,367,449,136,313,366,1137,659,13,24639,2382,7900,10905,6036,947,24635,622,251,40.4,281,45.2,14512,74733,38926,485,139,584,409,16193,1581,90,100,84,277,138,17,192,1.5,49,40,9,0.24,39.3,8.8,0.23,1,487,429,3,3,2,2130,578,496,53.8,EPL
vs Everton,28,26.5,57.4,38,418,3420,57,36,93,52,5,6,76,1,65.7,61.1,45.7,106.8,752,1678,1.5,0.95,2.45,1.37,2.32,1.73,1.2,2.93,1.61,2.81,d3fd31cc,570,179,31.4,15.0,4.71,0.09,0.29,16.4,15,0.11,-8.7,-9.1,17041,21204,80.4,293765,101614,7993,9020,88.6,7025,8188,85.8,1559,2848,54.7,36.3,-9.7,437,1295,358,101,19286,1864,438,51,153,758,846,238,90,66,2,54,393,1017,26.76,737,97,51,74,42,16,99,2.61,67,2,8,12,9,1,596,365,270,258,68,296,601,49.3,305,384,122,262,275,871,727,12,25326,2438,8031,11022,6477,1025,25320,694,302,43.5,309,44.5,14664,76078,40728,496,212,582,399,16932,1670,90,100,84,300,116,20,190,1.74,57,34,23,0.61,45.2,20.5,0.54,0,400,382,5,2,2,2092,613,582,51.3,EPL
vs Fulham,29,26.7,51.3,38,418,3420,51,30,81,44,7,8,57,5,63.8,57.9,43.1,101.0,558,1406,1.34,0.79,2.13,1.16,1.95,1.68,1.13,2.81,1.52,2.66,fd962109,497,188,37.8,13.08,4.95,0.09,0.23,16.7,20,0.12,-12.8,-13.9,15001,19010,78.9,262050,93178,6992,8025,87.1,6190,7186,86.1,1459,2750,53.1,34.5,-13.1,361,1114,331,83,17219,1703,438,76,137,608,720,204,94,66,1,88,368,878,23.11,639,65,52,64,50,8,87,2.29,55,3,6,15,8,0,617,362,280,258,79,238,507,46.9,269,447,116,331,340,957,754,8,23238,2494,7912,10257,5263,887,23230,674,279,41.4,299,44.4,13029,65866,32970,353,165,543,324,14833,1390,90,100,84,265,152,15,196,1.45,53,55,-2,-0.05,46.2,17.6,0.46,1,419,392,8,9,3,2070,550,511,51.8,EPL
vs Leeds United,29,26.7,53.1,38,418,3420,77,50,127,72,5,6,66,3,67.2,62.5,49.9,112.5,596,1469,2.03,1.32,3.34,1.89,3.21,1.77,1.31,3.08,1.65,2.96,5bfb9659,522,180,34.5,13.74,4.74,0.14,0.4,16.5,19,0.12,9.8,9.5,15111,19538,77.3,269802,96986,6666,7739,86.1,6577,7786,84.5,1516,2885,52.5,35.8,0.1,381,1172,287,58,17541,1911,492,69,131,612,866,182,87,61,6,86,450,921,24.24,640,88,72,60,49,12,140,3.68,98,4,21,8,7,2,749,427,379,292,78,328,596,55.0,268,509,140,369,391,1140,740,11,24304,2447,8102,10849,5573,872,24298,973,451,46.4,412,42.3,13328,67350,33950,423,189,630,428,14978,1455,90,100,82,260,157,21,198,1.92,78,48,30,0.79,47.4,19.8,0.52,1,422,453,5,3,3,2255,607,586,50.9,EPL
