Goalkeeping_Squad,Goalkeeping_No_Pl,Goalkeeping_Playing_Time_MP,Goalkeeping_Playing_Time_Min,Goalkeeping_Performance_GA,Goalkeeping_Performance_GA90,Goalkeeping_Performance_SoTA,Goalkeeping_Performance_Saves,Goalkeeping_Performance_Save_Pct,Goalkeeping_Performance_W,Goalkeeping_Performance_D,Goalkeeping_Performance_L,Goalkeeping_Performance_CS,Goalkeeping_Performance_CS_Pct,Goalkeeping_Penalty_Kicks_PKatt,Goalkeeping_Penalty_Kicks_PKA,Goalkeeping_Penalty_Kicks_PKsv,Goalkeeping_Penalty_Kicks_PKm,Goalkeeping_Penalty_Kicks_Save_Pct,Goalkeeping_Team_ID,Advanced_Goalkeeping_Goals_FK,Advanced_Goalkeeping_Goals_CK,Advanced_Goalkeeping_Goals_OG,Advanced_Goalkeeping_Expected_PSxG,Advanced_Goalkeeping_Expected_PSxG_perSoT,Advanced_Goalkeeping_Expected_PSxG_Plus_per,Advanced_Goalkeeping_Expected_per90,Advanced_Goalkeeping_Launched_Cmp,Advanced_Goalkeeping_Launched_Att,Advanced_Goalkeeping_Launched_Cmp_Pct,Advanced_Goalkeeping_Passes_Att,Advanced_Goalkeeping_Passes_Thr,Advanced_Goalkeeping_Passes_Launch_Pct,Advanced_Goalkeeping_Passes_AvgLen,Advanced_Goalkeeping_Goal_Kicks_Att,Advanced_Goalkeeping_Goal_Kicks_Launch_Pct,Advanced_Goalkeeping_Goal_Kicks_AvgLen,Advanced_Goalkeeping_Crosses_Opp,Advanced_Goalkeeping_Crosses_Stp,Advanced_Goalkeeping_Crosses_Stp_Pct,Advanced_Goalkeeping_Sweeper_No_OPA,Advanced_Goalkeeping_Sweeper_No_OPA_per90,Advanced_Goalkeeping_Sweeper_AvgDist,League
vs Arsenal,1,38,3420,88,2.32,197,113,56.9,6,6,26,4,10.5,4,3,0,1,0.0,18bb7c10,0,13,4,66.8,0.33,-17.2,-0.45,215,604,35.6,989,134,41.0,35.2,310,64.2,46.9,510,38,7.5,37,0.97,13.0,EPL
vs Aston Villa,2,38,3420,51,1.34,147,99,67.3,13,7,18,8,21.1,4,3,0,1,0.0,8602292d,2,6,2,44.1,0.29,-4.9,-0.13,134,355,37.7,829,173,29.6,31.9,225,48.9,39.7,439,27,6.2,41,1.08,15.1,EPL
vs Bournemouth,2,38,3420,37,0.97,126,89,70.6,21,6,11,18,47.4,0,0,0,0,,4ba7cbea,0,7,0,34.7,0.28,-2.3,-0.06,109,316,34.5,953,173,25.5,30.2,194,37.6,35.6,401,25,6.2,48,1.26,17.0,EPL
vs Brentford,1,38,3420,58,1.53,154,98,66.9,9,14,15,9,23.7,8,7,1,0,12.5,cd051869,2,8,2,54.6,0.31,-1.4,-0.04,157,546,28.8,928,183,39.8,35.2,244,72.5,50.3,531,34,6.4,53,1.39,15.7,EPL
vs Brighton,2,38,3420,72,1.89,225,157,70.7,12,8,18,5,13.2,6,6,0,0,0.0,d07537b9,1,3,4,66.8,0.28,-1.2,-0.03,202,663,30.5,1167,170,41.5,35.2,301,59.5,43.6,554,38,6.9,63,1.66,14.2,EPL
vs Chelsea,2,38,3420,38,1.0,155,117,77.4,16,11,11,14,36.8,3,3,0,0,0.0,cff3d9bb,1,5,1,43.7,0.27,6.7,0.18,169,488,34.6,1005,180,35.4,33.6,274,48.2,40.3,549,32,5.8,36,0.95,14.8,EPL
vs Crystal Palace,3,38,3420,40,1.05,135,96,71.1,15,12,11,16,42.1,3,1,1,1,50.0,47c64c55,1,5,2,41.2,0.29,3.2,0.08,139,373,37.3,1043,172,27.9,29.9,237,34.6,33.0,459,27,5.9,50,1.32,15.7,EPL
vs Everton,2,38,3420,34,0.89,145,114,78.6,18,12,8,14,36.8,3,3,0,0,0.0,d3fd31cc,0,5,2,38.6,0.25,6.6,0.17,122,377,32.4,1028,240,25.5,29.6,254,45.3,38.3,551,39,7.1,53,1.39,14.2,EPL
vs Fulham,2,38,3420,55,1.45,146,90,65.8,16,7,15,9,23.7,9,5,3,1,37.5,fd962109,1,10,3,52.1,0.31,0.1,0.0,139,430,32.3,1051,174,30.5,30.8,228,47.8,40.0,604,39,6.5,29,0.76,13.4,EPL
vs Leeds United,2,38,3420,48,1.26,143,97,67.1,21,10,7,10,26.3,3,1,1,1,50.0,5bfb9659,0,9,3,41.1,0.28,-3.9,-0.1,153,492,31.1,1007,204,36.0,33.4,265,48.7,40.0,520,35,6.7,43,1.13,14.2,EPL
