Goalkeeping_Rk,Goalkeeping_Player,Goalkeeping_Nation,Goalkeeping_Pos,Goalkeeping_Squad,Goalkeeping_Age,Goalkeeping_Born,Goalkeeping_Playing_Time_MP,Goalkeeping_Playing_Time_Starts,Goalkeeping_Playing_Time_Min,Goalkeeping_Playing_Time_90s,Goalkeeping_Performance_GA,Goalkeeping_Performance_GA90,Goalkeeping_Performance_SoTA,Goalkeeping_Performance_Saves,Goalkeeping_Performance_Save_Pct,Goalkeeping_Performance_W,Goalkeeping_Performance_D,Goalkeeping_Performance_L,Goalkeeping_Performance_CS,Goalkeeping_Performance_CS_Pct,Goalkeeping_Penalty_Kicks_PKatt,Goalkeeping_Penalty_Kicks_PKA,Goalkeeping_Penalty_Kicks_PKsv,Goalkeeping_Penalty_Kicks_PKm,Goalkeeping_Penalty_Kicks_Save_Pct,Goalkeeping_Matches,Goalkeeping_Player_Link,Goalkeeping_Player_ID,Advanced_Goalkeeping_Goals_FK,Advanced_Goalkeeping_Goals_CK,Advanced_Goalkeeping_Goals_OG,Advanced_Goalkeeping_Expected_PSxG,Advanced_Goalkeeping_Expected_PSxG_perSoT,Advanced_Goalkeeping_Expected_PSxG_Plus_per,Advanced_Goalkeeping_Expected_per90,Advanced_Goalkeeping_Launched_Cmp,Advanced_Goalkeeping_Launched_Att,Advanced_Goalkeeping_Launched_Cmp_Pct,Advanced_Goalkeeping_Passes_Att,Advanced_Goalkeeping_Passes_Thr,Advanced_Goalkeeping_Passes_Launch_Pct,Advanced_Goalkeeping_Passes_AvgLen,Advanced_Goalkeeping_Goal_Kicks_Att,Advanced_Goalkeeping_Goal_Kicks_Launch_Pct,Advanced_Goalkeeping_Goal_Kicks_AvgLen,Advanced_Goalkeeping_Crosses_Opp,Advanced_Goalkeeping_Crosses_Stp,Advanced_Goalkeeping_Crosses_Stp_Pct,Advanced_Goalkeeping_Sweeper_No_OPA,Advanced_Goalkeeping_Sweeper_No_OPA_per90,Advanced_Goalkeeping_Sweeper_AvgDist,League
1,Alisson,br BRA,GK,Liverpool,29,1992,37,37,3330,37.0,43,1.16,147,105,72.1,19,9,9,14,37.8,4,2,1,1,33.3,Matches,https://fbref.com/en/players/7a2e46a8/Alisson,7a2e46a8,0,0,2,51.1,0.33,+10.1,+0.27,116,283,41.0,1256,210,18.4,26.9,193,26.9,31.3,397,23,5.8,89,2.41,19.8,EPL
2,Alphonse Areola,fr FRA,GK,West Ham,29,1993,5,2,309,3.4,7,2.04,16,9,68.8,0,1,1,1,50.0,2,2,0,0,0.0,Matches,https://fbref.com/en/players/2f965a72/Alphonse-Areola,2f965a72,0,1,0,7.3,0.33,+0.3,+0.09,14,37,37.8,61,14,39.3,33.4,30,43.3,33.0,47,2,4.3,1,0.29,10.3,EPL
3,Kepa Arrizabalaga,es ESP,GK,Chelsea,27,1994,29,29,2565,28.5,33,1.16,120,90,73.3,8,9,12,9,31.0,1,1,0,0,0.0,Matches,https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga,28d596a0,1,4,3,35.0,0.29,+5.0,+0.18,68,213,31.9,864,151,17.1,26.3,182,35.7,31.5,332,15,4.5,52,1.82,16.9,EPL
4,Gavin Bazunu,ie IRL,GK,Southampton,20,2002,32,32,2880,32.0,56,1.75,120,67,54.2,6,6,20,4,12.5,2,1,1,0,50.0,Matches,https://fbref.com/en/players/c91441dc/Gavin-Bazunu,c91441dc,1,7,4,35.4,0.28,-16.6,-0.52,212,629,33.7,935,144,50.2,38.1,237,67.5,50.0,456,36,7.9,48,1.50,15.1,EPL
5,Asmir Begović,ba BIH,GK,Everton,35,1987,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,https://fbref.com/en/players/7b4de647/Asmir-Begovic,7b4de647,0,0,0,0.5,0.12,+0.5,+0.49,4,13,30.8,22,5,36.4,34.9,8,62.5,46.8,23,1,4.3,0,0.00,5.0,EPL
6,Daniel Bentley,eng ENG,GK,Wolves,29,1993,2,2,180,2.0,3,1.50,13,10,76.9,0,1,1,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/68db6358/Daniel-Bentley,68db6358,0,0,0,3.9,0.30,+0.9,+0.44,10,29,34.5,57,14,38.6,32.9,23,30.4,32.2,37,5,13.5,1,0.50,8.3,EPL
7,Martin Dúbravka,sk SVK,GK,Newcastle Utd,33,1989,2,1,157,1.7,1,0.57,9,9,88.9,0,1,0,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/3a949a25/Martin-Dubravka,3a949a25,0,0,1,1.9,0.21,+1.9,+1.07,6,10,60.0,39,14,10.3,20.7,15,40.0,35.3,30,1,3.3,0,0.00,12.4,EPL
8,Ederson,br BRA,GK,Manchester City,28,1993,35,35,3150,35.0,32,0.91,77,46,62.3,26,4,5,11,31.4,3,3,0,0,0.0,Matches,https://fbref.com/en/players/3bb7b8b4/Ederson,3bb7b8b4,1,4,1,26.2,0.30,-4.8,-0.14,117,263,44.5,1104,147,19.6,28.0,152,30.9,32.3,286,19,6.6,33,0.94,15.7,EPL
9,Łukasz Fabiański,pl POL,GK,West Ham,37,1985,36,36,3111,34.6,48,1.39,154,106,70.1,11,6,19,8,22.2,4,2,1,1,33.3,Matches,https://fbref.com/en/players/9328b835/Lukasz-Fabianski,9328b835,0,3,1,45.9,0.28,-1.1,-0.03,198,516,38.4,677,153,54.2,39.3,249,59.8,44.8,513,29,5.7,25,0.72,13.0,EPL
10,Fraser Forster,eng ENG,GK,Tottenham,34,1988,14,13,1215,13.5,24,1.78,55,30,60.0,5,3,5,3,23.1,3,2,1,0,33.3,Matches,https://fbref.com/en/players/c3e39f12/Fraser-Forster,c3e39f12,1,4,0,21.3,0.34,-2.7,-0.20,36,124,29.0,269,71,29.0,30.2,93,49.5,37.6,193,5,2.6,16,1.19,15.2,EPL
