Goalkeeping_Squad,Goalkeeping_No_Pl,Goalkeeping_Playing_Time_MP,Goalkeeping_Playing_Time_Min,Goalkeeping_Performance_GA,Goalkeeping_Performance_GA90,Goalkeeping_Performance_SoTA,Goalkeeping_Performance_Saves,Goalkeeping_Performance_Save_Pct,Goalkeeping_Performance_W,Goalkeeping_Performance_D,Goalkeeping_Performance_L,Goalkeeping_Performance_CS,Goalkeeping_Performance_CS_Pct,Goalkeeping_Penalty_Kicks_PKatt,Goalkeeping_Penalty_Kicks_PKA,Goalkeeping_Penalty_Kicks_PKsv,Goalkeeping_Penalty_Kicks_PKm,Goalkeeping_Penalty_Kicks_Save_Pct,Goalkeeping_Team_ID,Advanced_Goalkeeping_Goals_FK,Advanced_Goalkeeping_Goals_CK,Advanced_Goalkeeping_Goals_OG,Advanced_Goalkeeping_Expected_PSxG,Advanced_Goalkeeping_Expected_PSxG_perSoT,Advanced_Goalkeeping_Expected_PSxG_Plus_per,Advanced_Goalkeeping_Expected_per90,Advanced_Goalkeeping_Launched_Cmp,Advanced_Goalkeeping_Launched_Att,Advanced_Goalkeeping_Launched_Cmp_Pct,Advanced_Goalkeeping_Passes_Att,Advanced_Goalkeeping_Passes_Thr,Advanced_Goalkeeping_Passes_Launch_Pct,Advanced_Goalkeeping_Passes_AvgLen,Advanced_Goalkeeping_Goal_Kicks_Att,Advanced_Goalkeeping_Goal_Kicks_Launch_Pct,Advanced_Goalkeeping_Goal_Kicks_AvgLen,Advanced_Goalkeeping_Crosses_Opp,Advanced_Goalkeeping_Crosses_Stp,Advanced_Goalkeeping_Crosses_Stp_Pct,Advanced_Goalkeeping_Sweeper_No_OPA,Advanced_Goalkeeping_Sweeper_No_OPA_per90,Advanced_Goalkeeping_Sweeper_AvgDist,League
Arsenal,1,38,3420,43,1.13,136,94,70.6,26,6,6,14,36.8,5,3,0,2,0.0,18bb7c10,0,6,1,40.0,0.28,-2.0,-0.05,109,429,25.4,956,174,35.4,33.3,153,59.5,49.2,381,22,5.8,43,1.13,16.1,EPL
Aston Villa,2,38,3420,46,1.21,151,108,72.8,18,7,13,12,31.6,6,5,1,0,16.7,8602292d,1,9,4,42.8,0.25,0.8,0.02,214,585,36.6,1272,153,36.2,33.4,240,51.7,41.4,528,65,12.3,76,2.0,16.4,EPL
Bournemouth,2,38,3420,71,1.87,204,136,68.1,11,6,21,8,21.1,7,6,0,1,0.0,4ba7cbea,0,16,3,63.6,0.29,-4.4,-0.11,231,591,39.1,851,190,43.9,36.0,349,62.2,44.3,739,40,5.4,30,0.79,11.8,EPL
Brentford,1,38,3420,46,1.21,197,154,77.7,15,14,9,12,31.6,2,2,0,0,0.0,cd051869,0,9,3,48.0,0.24,5.0,0.13,347,882,39.3,1367,160,50.7,37.8,269,70.3,51.8,598,52,8.7,54,1.42,15.8,EPL
Brighton,2,38,3420,53,1.39,128,83,63.3,18,8,12,12,31.6,8,6,2,0,25.0,d07537b9,0,6,6,42.7,0.28,-4.3,-0.11,94,279,33.7,1128,151,20.2,26.9,186,27.4,28.8,355,27,7.6,32,0.84,13.8,EPL
Chelsea,2,38,3420,47,1.24,159,115,71.1,11,11,16,10,26.3,1,1,0,0,0.0,cff3d9bb,1,8,3,47.0,0.3,3.0,0.08,95,290,32.8,1090,198,18.2,26.6,245,37.6,32.3,460,24,5.2,63,1.66,16.1,EPL
Crystal Palace,3,38,3420,49,1.29,160,114,71.9,11,12,15,9,23.7,4,4,0,0,0.0,47c64c55,0,8,3,44.7,0.26,-1.3,-0.03,153,446,34.3,936,189,33.4,32.0,267,49.8,38.3,539,29,5.4,40,1.05,13.8,EPL
Everton,2,38,3420,57,1.5,185,127,71.9,8,12,18,9,23.7,6,5,1,0,16.7,d3fd31cc,2,4,0,60.4,0.3,3.4,0.09,274,814,33.7,1014,156,57.6,42.9,323,71.2,52.6,589,23,3.9,52,1.37,15.8,EPL
Fulham,2,38,3420,53,1.39,196,144,76.5,15,7,16,9,23.7,8,7,1,0,12.5,fd962109,1,8,2,60.1,0.28,9.1,0.24,140,438,32.0,1199,193,27.9,30.6,257,40.5,37.4,490,36,7.3,48,1.26,15.0,EPL
Leeds United,2,38,3420,78,2.05,185,108,60.5,7,10,21,5,13.2,6,5,0,1,0.0,5bfb9659,1,7,1,64.1,0.32,-12.9,-0.34,124,520,23.8,884,214,40.7,34.5,274,58.4,44.2,475,36,7.6,69,1.82,15.5,EPL
