Squad,Time,Comp,Round,Day,Venue,Result,GF,GA,penfor,penagainst,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Shooting_Standard_Gls,Shooting_Standard_Sh,Shooting_Standard_Sot,Shooting_Standard_Sot_Pct,Shooting_Standard_G_perSh,Shooting_Standard_G_perSot,Shooting_Standard_Dist,Shooting_Standard_Fk,Shooting_Standard_Pk,Shooting_Standard_Pkatt,Shooting_Expected_Npxg,Shooting_Expected_Npxg_perSh,Shooting_Expected_G_Xg,Shooting_Expected_Np_G_Xg,Keeper_Performance_Sota,Keeper_Performance_Ga,Keeper_Performance_Saves,Keeper_Performance_Save_Pct,Keeper_Performance_Cs,Keeper_Performance_Psxg,Keeper_Performance_Psxg_Plus_per,Keeper_Pkatt,Keeper_Pka,Keeper_Pksv,Keeper_Pkm,Keeper_Launched_Cmp,Keeper_Launched_Att,Keeper_Launched_Cmp_Pct,Keeper_Passes_Att,Keeper_Passes_Thr,Keeper_Passes_Launch_Pct,Keeper_Passes_Avglen,Keeper_Att,Keeper_Launch_Pct,Keeper_Avglen,Keeper_Crosses_Opp,Keeper_Crosses_Stp,Keeper_Crosses_Stp_Pct,Keeper_Sweeper_No_Opa,Keeper_Sweeper_Avgdist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp_Pct,Passing_Total_Totdist,Passing_Total_Prgdist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp_Pct,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp_Pct,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp_Pct,Passing_Ast,Passing_Xag,Passing_Xa,Passing_Kp,Passing_One_Third,Passing_Ppa,Passing_Crspa,Passing_Prgp,Passing_Types_Live,Passing_Types_Dead,Passing_Types_Fk,Passing_Types_Tb,Passing_Types_Sw,Passing_Types_Crs,Passing_Types_Ti,Passing_Types_Ck,Passing_Types_In,Passing_Types_Out,Passing_Types_Str,Passing_Types_Outcomes_Off,Passing_Types_Outcomes_Blocks,Gca_Sca,Gca_Passlive,Gca_Passdead,Gca_To,Gca_Sh,Gca_Fld,Gca_Def,Gca_Gca,Defense_Tackles_Tkl,Defense_Tackles_Tklw,Defense_Tackles_Def_3Rd,Defense_Tackles_Mid_3Rd,Defense_Tackles_Att_3Rd,Defense_Challenges_Tkl,Defense_Challenges_Att,Defense_Challenges_Tkl_Pct,Defense_Challenges_Lost,Defense_Blocks,Defense_Blocks_Sh,Defense_Blocks_Pass,Defense_Int,Defense_Tkl_Plus_Int,Defense_Clr,Defense_Err,Possession_Touches,Possession_Touches_Def_Pen,Possession_Touches_Def_3Rd,Possession_Touches_Mid_3Rd,Possession_Touches_Att_3Rd,Possession_Touches_Att_Pen,Possession_Touches_Live,Possession_Take_Ons_Att,Possession_Take_Ons_Succ,Possession_Take_Ons_Succ_Pct,Possession_Take_Ons_Tkld,Possession_Take_Ons_Tkld_Pct,Possession_Carries,Possession_Carries_Totdist,Possession_Carries_Prgdist,Possession_Carries_Prgc,Possession_Carries_One_Third,Possession_Carries_Cpa,Possession_Carries_Mis,Possession_Carries_Dis,Possession_Receiving_Rec,Possession_Receiving_Prgr,Misc_Performance_Crdy,Misc_Performance_Crdr,Misc_Performance_2Crdy,Misc_Performance_Fls,Misc_Performance_Fld,Misc_Performance_Off,Misc_Performance_Pkwon,Misc_Performance_Pkcon,Misc_Performance_Og,Misc_Performance_Recov,Misc_Won,Misc_Lost,Misc_Won_Pct,Date
Arsenal,20:00,Premier League,Matchweek 1,Fri,Away,W,2.0,0.0,0,0,Crystal Palace,1.0,1.2,44.0,25286.0,Martin Ødegaard,4-3-3,Anthony Taylor,1.0,10.0,2.0,20.0,0.1,0.5,14.6,1.0,0.0,0.0,1.0,0.1,0.0,0.0,2.0,0.0,2.0,100.0,1.0,0.3,0.3,0.0,0.0,0.0,0.0,8.0,15.0,53.3,30.0,4.0,46.7,36.5,2.0,50.0,43.5,16.0,2.0,12.5,1.0,15.7,378.0,469.0,80.6,6643.0,2559.0,171.0,201.0,85.1,156.0,176.0,88.6,34.0,60.0,56.7,1.0,0.6,0.8,7.0,34.0,10.0,0.0,40.0,429.0,38.0,16.0,0.0,4.0,11.0,14.0,5.0,5.0,0.0,0.0,2.0,6.0,18.0,11.0,2.0,3.0,1.0,1.0,0.0,2.0,29.0,16.0,17.0,10.0,2.0,13.0,29.0,44.8,16.0,17.0,6.0,11.0,9.0,38,24.0,0.0,599.0,79.0,220.0,254.0,133.0,27.0,599.0,17.0,13.0,76.5,3.0,17.6,359.0,1962.0,1008.0,15.0,8.0,5.0,19.0,15.0,376.0,39.0,2.0,0.0,0.0,11.0,16.0,2.0,0.0,0.0,0.0,55.0,14.0,10.0,58.3,2022-08-05
Arsenal,15:00,Premier League,Matchweek 2,Sat,Home,W,4.0,2.0,0,0,Leicester City,2.7,0.5,50.0,60033.0,Martin Ødegaard,4-3-3,Darren England,4.0,19.0,7.0,36.8,0.21,0.57,13.0,0.0,0.0,0.0,2.7,0.16,1.3,1.3,2.0,2.0,1.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,5.0,13.0,38.5,23.0,3.0,43.5,37.3,3.0,100.0,72.3,6.0,0.0,0.0,1.0,17.0,407.0,499.0,81.6,6642.0,2321.0,212.0,232.0,91.4,148.0,173.0,85.5,31.0,61.0,50.8,3.0,1.5,1.0,14.0,29.0,7.0,2.0,29.0,458.0,39.0,12.0,2.0,2.0,17.0,15.0,6.0,5.0,0.0,0.0,2.0,10.0,34.0,24.0,4.0,1.0,3.0,2.0,0.0,6.0,8.0,6.0,5.0,1.0,2.0,5.0,8.0,62.5,3.0,9.0,1.0,8.0,8.0,16,12.0,0.0,590.0,31.0,135.0,230.0,227.0,34.0,590.0,17.0,11.0,64.7,5.0,29.4,323.0,1990.0,1009.0,23.0,19.0,9.0,12.0,7.0,405.0,29.0,1.0,0.0,0.0,15.0,9.0,2.0,0.0,0.0,1.0,50.0,19.0,14.0,57.6,2022-08-13
Arsenal,17:30,Premier League,Matchweek 3,Sat,Away,W,3.0,0.0,0,0,Bournemouth,1.3,0.3,57.0,10423.0,Martin Ødegaard,4-3-3,Craig Pawson,3.0,14.0,6.0,42.9,0.21,0.5,14.8,0.0,0.0,0.0,1.3,0.1,1.7,1.7,1.0,0.0,1.0,100.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,5.0,13.0,38.5,23.0,2.0,39.1,33.6,4.0,100.0,72.3,12.0,0.0,0.0,0.0,7.0,534.0,614.0,87.0,8331.0,2663.0,286.0,307.0,93.2,188.0,206.0,91.3,34.0,61.0,55.7,2.0,0.8,0.6,9.0,24.0,6.0,2.0,35.0,576.0,35.0,13.0,0.0,2.0,16.0,13.0,4.0,4.0,0.0,0.0,3.0,9.0,25.0,18.0,1.0,2.0,3.0,0.0,1.0,5.0,14.0,8.0,5.0,5.0,4.0,5.0,12.0,41.7,7.0,11.0,0.0,11.0,10.0,24,20.0,1.0,738.0,49.0,187.0,384.0,173.0,17.0,738.0,27.0,12.0,44.4,13.0,48.1,526.0,2454.0,1049.0,14.0,19.0,3.0,16.0,9.0,528.0,35.0,1.0,0.0,0.0,10.0,12.0,3.0,0.0,0.0,0.0,56.0,14.0,12.0,53.8,2022-08-20
Arsenal,17:30,Premier League,Matchweek 4,Sat,Home,W,2.0,1.0,0,0,Fulham,2.6,0.8,71.0,60164.0,Martin Ødegaard,4-3-3,Jarred Gillett,2.0,22.0,8.0,36.4,0.09,0.25,15.5,1.0,0.0,0.0,2.6,0.12,-0.6,-0.6,3.0,1.0,2.0,66.7,0.0,1.1,0.1,0.0,0.0,0.0,0.0,3.0,10.0,30.0,22.0,5.0,31.8,30.8,8.0,37.5,34.6,10.0,2.0,20.0,0.0,14.5,534.0,637.0,83.8,9990.0,3197.0,221.0,252.0,87.7,246.0,268.0,91.8,62.0,91.0,68.1,2.0,2.1,1.3,16.0,42.0,17.0,3.0,66.0,587.0,49.0,11.0,2.0,3.0,19.0,17.0,9.0,6.0,0.0,0.0,1.0,13.0,36.0,27.0,1.0,3.0,2.0,2.0,1.0,3.0,15.0,11.0,2.0,8.0,5.0,6.0,10.0,60.0,4.0,17.0,2.0,15.0,7.0,22,5.0,1.0,745.0,43.0,157.0,352.0,243.0,48.0,745.0,29.0,13.0,44.8,9.0,31.0,445.0,2351.0,1277.0,17.0,18.0,8.0,15.0,15.0,529.0,63.0,2.0,0.0,0.0,6.0,12.0,1.0,0.0,0.0,0.0,53.0,11.0,22.0,33.3,2022-08-27
Arsenal,19:30,Premier League,Matchweek 5,Wed,Home,W,2.0,1.0,0,0,Aston Villa,2.4,0.4,59.0,60012.0,Martin Ødegaard,4-3-3,Robert Jones,2.0,22.0,8.0,36.4,0.09,0.25,16.3,1.0,0.0,0.0,2.4,0.12,-0.4,-0.4,3.0,1.0,2.0,66.7,0.0,0.2,-0.8,0.0,0.0,0.0,0.0,3.0,13.0,23.1,22.0,9.0,40.9,37.6,5.0,80.0,61.8,9.0,0.0,0.0,0.0,0.0,452.0,549.0,82.3,8154.0,3066.0,186.0,203.0,91.6,210.0,244.0,86.1,48.0,76.0,63.2,1.0,1.8,1.5,15.0,40.0,16.0,0.0,50.0,502.0,46.0,14.0,1.0,2.0,20.0,15.0,10.0,7.0,0.0,0.0,1.0,7.0,38.0,25.0,5.0,0.0,6.0,2.0,0.0,4.0,10.0,7.0,7.0,2.0,1.0,4.0,9.0,44.4,5.0,4.0,0.0,4.0,8.0,18,13.0,0.0,665.0,39.0,195.0,271.0,206.0,48.0,665.0,23.0,12.0,52.2,7.0,30.4,420.0,2049.0,1016.0,23.0,19.0,7.0,18.0,9.0,450.0,50.0,2.0,0.0,0.0,10.0,14.0,1.0,0.0,0.0,0.0,50.0,10.0,10.0,50.0,2022-08-31
Arsenal,16:30,Premier League,Matchweek 6,Sun,Away,L,1.0,3.0,0,0,Manchester Utd,1.3,1.5,60.0,73431.0,Martin Ødegaard,4-3-3,Paul Tierney,1.0,16.0,3.0,18.8,0.06,0.33,18.6,1.0,0.0,0.0,1.3,0.08,-0.3,-0.3,6.0,3.0,3.0,50.0,0.0,3.1,0.1,0.0,0.0,0.0,0.0,7.0,18.0,38.9,38.0,7.0,42.1,35.6,3.0,66.7,55.3,6.0,0.0,0.0,3.0,19.5,418.0,508.0,82.3,7521.0,2785.0,186.0,206.0,90.3,178.0,203.0,87.7,43.0,68.0,63.2,0.0,1.0,1.2,14.0,38.0,19.0,3.0,58.0,460.0,48.0,16.0,1.0,5.0,16.0,20.0,5.0,2.0,0.0,0.0,0.0,10.0,28.0,19.0,5.0,1.0,1.0,2.0,0.0,2.0,14.0,8.0,7.0,2.0,5.0,8.0,11.0,72.7,3.0,7.0,1.0,6.0,6.0,20,6.0,1.0,601.0,45.0,152.0,235.0,215.0,45.0,601.0,18.0,8.0,44.4,9.0,50.0,311.0,1909.0,1016.0,22.0,10.0,7.0,18.0,8.0,414.0,58.0,3.0,0.0,0.0,9.0,13.0,0.0,0.0,0.0,0.0,47.0,3.0,10.0,23.1,2022-09-04
Arsenal,18:45,Europa League,Group stage,Thu,Away,W,2.0,1.0,0,0,ch Zürich,2.3,1.2,69.0,17070.0,Granit Xhaka,4-3-3,Mohammed Al Hakim,2.0,18.0,8.0,44.4,0.11,0.25,15.4,0.0,0.0,0.0,2.3,0.13,-0.3,-0.3,3.0,1.0,2.0,100.0,0.0,1.2,0.2,1.0,1.0,0.0,0.0,6.0,14.0,42.9,30.0,5.0,33.3,33.3,5.0,80.0,60.4,11.0,1.0,9.1,1.0,10.0,597.0,690.0,86.5,11160.0,3385.0,236.0,262.0,90.1,288.0,312.0,92.3,61.0,88.0,69.3,2.0,1.7,2.1,15.0,73.0,16.0,4.0,75.0,641.0,49.0,16.0,6.0,7.0,19.0,18.0,8.0,4.0,0.0,0.0,0.0,9.0,34.0,32.0,0.0,2.0,0.0,0.0,0.0,3.0,8.0,5.0,1.0,5.0,2.0,2.0,5.0,40.0,3.0,9.0,4.0,5.0,7.0,15,17.0,1.0,790.0,44.0,143.0,374.0,281.0,33.0,790.0,23.0,6.0,26.1,12.0,52.2,545.0,3033.0,1401.0,23.0,18.0,8.0,14.0,9.0,595.0,75.0,0.0,0.0,0.0,7.0,11.0,0.0,0.0,1.0,0.0,45.0,12.0,15.0,44.4,2022-09-08
Arsenal,12:00,Premier League,Matchweek 8,Sun,Away,W,3.0,0.0,0,0,Brentford,1.5,0.5,63.0,17122.0,Granit Xhaka,4-3-3,David Coote,3.0,13.0,7.0,53.8,0.23,0.43,18.2,0.0,0.0,0.0,1.5,0.12,1.5,1.5,2.0,0.0,2.0,100.0,1.0,0.4,0.4,0.0,0.0,0.0,0.0,2.0,15.0,13.3,20.0,4.0,45.0,36.9,6.0,100.0,72.2,14.0,1.0,7.1,0.0,2.0,525.0,624.0,84.1,8293.0,2539.0,289.0,309.0,93.5,209.0,242.0,86.4,25.0,62.0,40.3,3.0,1.3,0.9,12.0,47.0,7.0,0.0,41.0,582.0,41.0,13.0,0.0,2.0,9.0,18.0,3.0,3.0,0.0,0.0,1.0,6.0,23.0,17.0,3.0,1.0,0.0,0.0,2.0,6.0,12.0,9.0,3.0,3.0,6.0,3.0,7.0,42.9,4.0,2.0,0.0,2.0,6.0,18,21.0,0.0,722.0,44.0,132.0,399.0,194.0,21.0,722.0,20.0,10.0,50.0,8.0,40.0,484.0,2241.0,962.0,13.0,15.0,2.0,10.0,13.0,520.0,41.0,2.0,0.0,0.0,10.0,10.0,1.0,0.0,0.0,0.0,53.0,8.0,21.0,27.6,2022-09-18
Arsenal,12:30,Premier League,Matchweek 9,Sat,Home,W,3.0,1.0,0,0,Tottenham,2.4,1.6,64.0,60278.0,Martin Ødegaard,4-3-3,Anthony Taylor,3.0,22.0,9.0,40.9,0.14,0.33,18.6,1.0,0.0,0.0,2.4,0.11,0.6,0.6,3.0,1.0,2.0,100.0,0.0,1.1,0.1,1.0,1.0,0.0,0.0,5.0,9.0,55.6,18.0,4.0,38.9,35.5,2.0,100.0,76.5,5.0,0.0,0.0,2.0,13.3,539.0,613.0,87.9,9543.0,2949.0,241.0,262.0,92.0,257.0,277.0,92.8,38.0,58.0,65.5,2.0,1.2,1.3,17.0,68.0,16.0,7.0,78.0,572.0,40.0,12.0,0.0,2.0,25.0,18.0,5.0,4.0,0.0,0.0,1.0,7.0,39.0,36.0,0.0,1.0,1.0,1.0,0.0,5.0,14.0,10.0,7.0,4.0,3.0,6.0,10.0,60.0,4.0,4.0,2.0,2.0,6.0,20,16.0,0.0,715.0,36.0,120.0,306.0,292.0,37.0,715.0,19.0,10.0,52.6,5.0,26.3,504.0,2031.0,1028.0,23.0,8.0,10.0,16.0,11.0,533.0,77.0,2.0,0.0,0.0,10.0,10.0,1.0,0.0,1.0,0.0,50.0,9.0,7.0,56.3,2022-10-01
Arsenal,20:00,Europa League,Group stage,Thu,Home,W,3.0,0.0,0,0,no Bodø/Glimt,3.4,0.8,50.0,59724.0,Granit Xhaka,4-3-3,Harm Osmers,3.0,18.0,6.0,33.3,0.17,0.5,14.7,1.0,0.0,0.0,3.4,0.19,-0.4,-0.4,3.0,0.0,3.0,100.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,5.0,15.0,33.3,30.0,3.0,46.7,35.5,3.0,33.3,30.0,4.0,1.0,25.0,0.0,9.7,434.0,511.0,84.9,8464.0,2595.0,143.0,160.0,89.4,225.0,245.0,91.8,57.0,85.0,67.1,3.0,2.4,1.7,14.0,36.0,13.0,3.0,45.0,467.0,42.0,10.0,4.0,6.0,21.0,21.0,6.0,4.0,1.0,0.0,2.0,4.0,28.0,19.0,3.0,2.0,4.0,0.0,0.0,5.0,13.0,8.0,4.0,2.0,7.0,6.0,14.0,42.9,8.0,6.0,3.0,3.0,7.0,20,8.0,0.0,617.0,57.0,174.0,271.0,177.0,41.0,617.0,16.0,8.0,50.0,7.0,43.8,388.0,2118.0,928.0,14.0,8.0,6.0,18.0,11.0,430.0,44.0,1.0,0.0,0.0,8.0,7.0,2.0,0.0,0.0,0.0,54.0,6.0,7.0,46.2,2022-10-06
